Date,Season,Place,Month,Rest,Opponent,Day,team_fg,opp_fg,team_fga,opp_fga,team_fg_pct,opp_fg_pct,team_fg3,opp_fg3,team_fg3a,opp_fg3a,team_fg3_pct,opp_fg3_pct,team_fg2,opp_fg2,team_fg2a,opp_fg2a,team_fg2_pct,opp_fg2_pct,team_ft,opp_ft,team_fta,opp_fta,team_ft_pct,opp_ft_pct,team_orb,opp_orb,team_drb,opp_drb,team_trb,opp_trb,team_ast,opp_ast,team_stl,opp_stl,team_blk,opp_blk,team_tov,opp_tov,team_pf,opp_pf,team_pts,opp_pts,team_opp_fg,opp_opp_fg,team_opp_fga,opp_opp_fga,team_opp_fg_pct,opp_opp_fg_pct,team_opp_fg3,opp_opp_fg3,team_opp_fg3a,opp_opp_fg3a,team_opp_fg3_pct,opp_opp_fg3_pct,team_opp_fg2,opp_opp_fg2,team_opp_fg2a,opp_opp_fg2a,team_opp_fg2_pct,opp_opp_fg2_pct,team_opp_ft,opp_opp_ft,team_opp_fta,opp_opp_fta,team_opp_ft_pct,opp_opp_ft_pct,team_opp_orb,opp_opp_orb,team_opp_drb,opp_opp_drb,team_opp_trb,opp_opp_trb,team_opp_ast,opp_opp_ast,team_opp_stl,opp_opp_stl,team_opp_blk,opp_opp_blk,team_opp_tov,opp_opp_tov,team_opp_pf,opp_opp_pf,team_opp_pts,opp_opp_pts
2019-10-23,2020,Road,October,175,UTA,Wednesday,38.5,37.6,83.9,82.8,0.459,0.454,10.6,11.9,29.9,31.2,0.354,0.381,27.9,25.7,54.0,51.6,0.517,0.499,19.8,19.7,24.9,25.4,0.792,0.775,8.1,7.8,34.4,37.2,42.5,45.1,21.8,21.1,7.8,6.1,4.6,4.4,15.1,16.3,20.5,21.7,107.4,106.8,40.8,38.6,89.6,89.4,0.455,0.432,10.3,10.4,29.6,32.0,0.347,0.326,30.5,28.2,60.0,57.4,0.509,0.491,16.9,16.8,20.8,21.7,0.811,0.775,10.9,9.4,35.5,34.2,46.5,43.7,23.1,19.5,7.3,7.1,4.9,5.1,15.1,13.7,23.3,22.6,108.8,104.5
2019-10-25,2020,Home,October,2,WAS,Friday,38.5,45.4,83.9,94.2,0.459,0.482,10.6,13.3,29.9,34.9,0.354,0.38,27.9,32.2,54.0,59.3,0.517,0.543,19.8,15.3,24.9,18.9,0.792,0.809,8.1,9.8,34.4,32.1,42.5,41.8,21.8,28.8,7.8,6.9,4.6,4.2,15.1,14.6,20.5,21.9,107.4,119.4,40.8,44.3,89.6,90.8,0.455,0.488,10.3,12.3,29.6,33.4,0.347,0.369,30.5,31.9,60.0,57.4,0.509,0.557,16.9,20.0,20.8,24.8,0.811,0.808,10.9,10.9,35.5,35.2,46.5,46.1,23.1,26.4,7.3,7.3,4.9,5.8,15.1,15.9,23.3,19.9,108.8,120.8
2019-10-27,2020,Home,October,2,GSW,Sunday,38.5,39.0,83.9,89.9,0.459,0.434,10.6,9.7,29.9,29.6,0.354,0.327,27.9,29.3,54.0,60.3,0.517,0.486,19.8,19.7,24.9,23.6,0.792,0.835,8.1,10.3,34.4,33.8,42.5,44.1,21.8,24.8,7.8,8.1,4.6,4.6,15.1,14.5,20.5,19.2,107.4,107.4,40.8,43.1,89.6,90.2,0.455,0.477,10.3,13.7,29.6,34.3,0.347,0.399,30.5,29.4,60.0,55.9,0.509,0.525,16.9,16.3,20.8,21.4,0.811,0.762,10.9,10.9,35.5,35.4,46.5,46.3,23.1,26.4,7.3,7.5,4.9,5.8,15.1,15.7,23.3,20.1,108.8,116.1
2019-10-28,2020,Road,October,1,HOU,Monday,38.5,40.1,83.9,90.1,0.459,0.445,10.6,15.2,29.9,45.4,0.354,0.334,27.9,24.9,54.0,44.7,0.517,0.557,19.8,22.9,24.9,29.6,0.792,0.774,8.1,10.8,34.4,36.2,42.5,47.1,21.8,21.2,7.8,8.4,4.6,4.8,15.1,15.3,20.5,22.2,107.4,118.2,40.8,42.4,89.6,92.4,0.455,0.459,10.3,12.9,29.6,36.4,0.347,0.354,30.5,29.5,60.0,56.0,0.509,0.527,16.9,17.0,20.8,22.8,0.811,0.745,10.9,11.0,35.5,36.2,46.5,47.2,23.1,25.6,7.3,8.4,4.9,4.4,15.1,16.2,23.3,23.2,108.8,114.7
2019-10-30,2020,Home,October,2,POR,Wednesday,38.5,41.8,83.9,92.6,0.459,0.451,10.6,12.5,29.9,33.9,0.354,0.369,27.9,29.3,54.0,58.7,0.517,0.499,19.8,17.8,24.9,21.8,0.792,0.819,8.1,10.4,34.4,36.2,42.5,46.6,21.8,19.9,7.8,5.9,4.6,5.7,15.1,13.9,20.5,23.7,107.4,113.9,40.8,40.6,89.6,91.7,0.455,0.443,10.3,11.3,29.6,33.6,0.347,0.336,30.5,29.3,60.0,58.1,0.509,0.504,16.9,22.8,20.8,28.4,0.811,0.802,10.9,11.8,35.5,36.7,46.5,48.6,23.1,23.3,7.3,7.7,4.9,5.7,15.1,13.9,23.3,20.5,108.8,115.3
2019-11-02,2020,Home,November,3,NOP,Saturday,38.5,42.2,83.9,92.9,0.459,0.454,10.6,15.1,29.9,39.3,0.354,0.385,27.9,27.1,54.0,53.7,0.517,0.505,19.8,16.1,24.9,21.9,0.792,0.734,8.1,11.4,34.4,33.7,42.5,45.1,21.8,25.6,7.8,8.2,4.6,4.9,15.1,16.4,20.5,23.7,107.4,115.7,40.8,43.0,89.6,90.6,0.455,0.475,10.3,12.8,29.6,34.4,0.347,0.373,30.5,30.2,60.0,56.2,0.509,0.537,16.9,21.2,20.8,26.6,0.811,0.799,10.9,10.3,35.5,35.9,46.5,46.2,23.1,25.6,7.3,7.8,4.9,4.3,15.1,16.4,23.3,20.9,108.8,120.1
2019-11-05,2020,Home,November,3,ORL,Tuesday,38.5,37.8,83.9,88.4,0.459,0.427,10.6,9.8,29.9,31.1,0.354,0.314,27.9,28.0,54.0,57.4,0.517,0.488,19.8,16.8,24.9,21.5,0.792,0.784,8.1,10.7,34.4,34.5,42.5,45.2,21.8,22.4,7.8,8.4,4.6,6.4,15.1,12.8,20.5,18.6,107.4,102.1,40.8,38.6,89.6,85.6,0.455,0.452,10.3,11.1,29.6,31.9,0.347,0.347,30.5,27.6,60.0,53.7,0.509,0.514,16.9,14.6,20.8,18.9,0.811,0.773,10.9,8.8,35.5,36.8,46.5,45.5,23.1,22.8,7.3,6.2,4.9,4.4,15.1,14.7,23.3,19.6,108.8,103.0
2019-11-07,2020,Road,November,2,SAS,Thursday,38.5,42.3,83.9,89.8,0.459,0.471,10.6,8.8,29.9,25.1,0.354,0.35,27.9,33.5,54.0,64.7,0.517,0.518,19.8,18.3,24.9,23.5,0.792,0.78,8.1,10.8,34.4,35.1,42.5,45.9,21.8,24.1,7.8,5.9,4.6,5.5,15.1,13.7,20.5,19.3,107.4,111.7,40.8,42.8,89.6,89.7,0.455,0.477,10.3,12.3,29.6,31.7,0.347,0.388,30.5,30.5,60.0,58.0,0.509,0.525,16.9,17.3,20.8,22.5,0.811,0.769,10.9,8.8,35.5,35.2,46.5,44.0,23.1,26.0,7.3,7.2,4.9,4.8,15.1,12.5,23.3,20.9,108.8,115.2
2019-11-09,2020,Home,November,2,GSW,Saturday,38.5,39.0,83.9,89.9,0.459,0.434,10.6,9.7,29.9,29.6,0.354,0.327,27.9,29.3,54.0,60.3,0.517,0.486,19.8,19.7,24.9,23.6,0.792,0.835,8.1,10.3,34.4,33.8,42.5,44.1,21.8,24.8,7.8,8.1,4.6,4.6,15.1,14.5,20.5,19.2,107.4,107.4,40.8,43.1,89.6,90.2,0.455,0.477,10.3,13.7,29.6,34.3,0.347,0.399,30.5,29.4,60.0,55.9,0.509,0.525,16.9,16.3,20.8,21.4,0.811,0.762,10.9,10.9,35.5,35.4,46.5,46.3,23.1,26.4,7.3,7.5,4.9,5.8,15.1,15.7,23.3,20.1,108.8,116.1
2019-11-10,2020,Home,November,1,MIL,Sunday,38.5,43.3,83.9,91.4,0.459,0.473,10.6,13.8,29.9,40.6,0.354,0.339,27.9,29.5,54.0,50.8,0.517,0.58,19.8,19.1,24.9,26.6,0.792,0.716,8.1,10.2,34.4,41.3,42.5,51.5,21.8,24.4,7.8,7.6,4.6,6.6,15.1,15.3,20.5,21.1,107.4,119.4,40.8,39.5,89.6,94.1,0.455,0.42,10.3,14.5,29.6,38.4,0.347,0.377,30.5,25.0,60.0,55.6,0.509,0.45,16.9,16.7,20.8,21.7,0.811,0.767,10.9,9.6,35.5,37.1,46.5,46.7,23.1,24.2,7.3,6.6,4.9,4.3,15.1,15.4,23.3,23.1,108.8,110.2
